name,brand,category,price_usd,list_price_usd,product_url
Belted Black-Wash Denim Jumpsuit,& Other Stories,Women > Clothing > Playsuits & Jumpsuits,151.74,151.74,https://www.zalora.com.ph/p/other-stories-belted-black-wash-denim-jumpsuit-black-2779947
Belted High Waist Shorts,Hopeshow,Women > Clothing > Shorts,40.84,40.84,https://www.zalora.com.ph/p/hopeshow-belted-high-waist-shorts-brown-2984022
Belted Maxi Dress,Trendyol,Women > Clothing > Dresses > Maxi Dresses,31.18,48.14,https://www.zalora.com.ph/p/trendyol-belted-maxi-dress-black-3247011
Benito Brown Derby Shoes,Bristol Shoes,Men > Shoes > Oxfords,56.62,94.36,https://www.zalora.com.ph/p/bristol-shoes-benito-brown-derby-shoes-brown-3199102
Berenice Comfy Sandals,My Ballerine,Women > Shoes > Heels > Low Heels,52.88,71.98,https://www.zalora.com.ph/p/my-ballerine-berenice-comfy-sandals-brown-2930060
Bermuda Regular Denim shorts,H&M,Women > Clothing > Shorts,24.32,24.32,https://www.zalora.com.ph/p/hm-bermuda-regular-denim-shorts-black-3690903
Bernez Flutter Sleeves Top,BADOMODA,Women > Clothing > Tops > Blouses,10.0,22.35,https://www.zalora.com.ph/p/badomoda-bernez-flutter-sleeves-top-multi-2093279
Berzato Sleeveless Vest,RAF,Women > Clothing > Tops > Sleeveless,52.21,52.21,https://www.zalora.com.ph/p/raf-berzato-sleeveless-vest-brown-3729443
Better Sportswear Tee,PUMA,Sports > Men's Sports > Footwear,29.38,29.38,https://www.zalora.com.ph/p/puma-better-sportswear-tee-beige-2900194
Bevan Top,Cole Vintage,Women > Clothing > Tops > Sleeveless,10.0,33.35,https://www.zalora.com.ph/p/cole-vintage-bevan-top-black-2393821
Bevin Slides,CLN,Women > Shoes > Sandals > Flat Sandals,13.04,13.04,https://www.zalora.com.ph/p/cln-bevin-slides-black-4087083
Bhavini Off-shoulder Embro Dress,BADOMODA,Women > Clothing > Dresses > Mini Dresses,12.9,27.67,https://www.zalora.com.ph/p/badomoda-bhavini-off-shoulder-embro-dress-blue-2644192
Bibi Square Pump Heels,Happy2U,Women > Shoes > Heels > Mid Heels,37.53,53.69,https://www.zalora.com.ph/p/happy2u-bibi-square-pump-heels-black-3633422
Biddy Dress,THE LOUNGE EDIT,Women > Clothing > Dresses > Maxi Dresses,39.67,39.67,https://www.zalora.com.ph/p/the-lounge-edit-biddy-dress-multi-3099284
Billie Suiting Pants,Cotton On,Women > Clothing > Pants & Leggings > Wide-legged Pants,48.96,48.96,https://www.zalora.com.ph/p/cotton-on-billie-suiting-pants-grey-3141986
Billion 2,Skechers,Sports > Women's Sports > Footwear > Sneakers,71.75,71.75,https://www.zalora.com.ph/p/skechers-billion-2-multi-4041883
Biofresh Men's Antimicrobial Cotton Premium Slim Fit Roundneck Shirt 1 piece UMSPR1,Biofresh,Men > Clothing > T-Shirts > Short Sleeves,10.0,10.0,https://www.zalora.com.ph/p/biofresh-biofresh-men-s-antimicrobial-cotton-premium-slim-fit-roundneck-shirt-1-piece-umspr1-white-2788356
Biofresh Men's Antimicrobial Sweat Absorbent Lite Thin Casual Foot Cover 3 pairs in a pack RMFCG2,Biofresh,Men > Clothing > Socks > Invisible socks,10.0,10.0,https://www.zalora.com.ph/p/biofresh-biofresh-men-s-antimicrobial-sweat-absorbent-lite-thin-casual-foot-cover-3-pairs-in-a-pack-rmfcg2-grey-1751942
Biofresh Ultrafoam Foam Memolite Insoles 1 Pair Fmufmemo/Flufmemo,Biofresh,Men > Shoes > Shoes Accessories,10.0,10.0,https://www.zalora.com.ph/p/biofresh-biofresh-ultrafoam-foam-memolite-insoles-1-pair-fmufmemo-flufmemo-navy-3130924
Birdie Seamless Shorts,Lotus Activewear,Sports > Women's Sports > Women's Sports,13.79,13.79,https://www.zalora.com.ph/p/lotus-activewear-birdie-seamless-shorts-yellow-2756500
Biscoff Short Sleeve Top,RAF,Women > Clothing > Tops > Blouses,37.51,37.51,https://www.zalora.com.ph/p/raf-biscoff-short-sleeve-top-beige-3729446
Bissom Loafers,ALDO,Women > Shoes > Flats > Loafers & Boat Shoes,83.98,94.6,https://www.zalora.com.ph/p/aldo-bissom-loafers-black-3489486
Bitter Coffee Ankle Strap Flip Flops Women Sandals Takss25Sd00021,Trendyol,Women > Shoes > Sandals > Flat Sandals,26.45,36.23,https://www.zalora.com.ph/p/trendyol-bitter-coffee-ankle-strap-flip-flops-women-sandals-takss25sd00021-brown-3990722
Black Ankle Strap Thin Heeled Square Toe Women's Heeled Sandals Takss25To00003,Trendyol,Women > Shoes > Heels > Open Toes,28.88,43.9,https://www.zalora.com.ph/p/trendyol-black-ankle-strap-thin-heeled-square-toe-women-s-heeled-sandals-takss25to00003-black-3990247
Black Aria Bow Pumps,Carlo Rino,Women > Shoes > Heels > Pumps,47.87,68.39,https://www.zalora.com.ph/p/carlo-rino-black-aria-bow-pumps-black-4179807
Black CR Charm Platform Sandals,Carlo Rino,Women > Shoes > Heels > Open Toes,31.34,62.67,https://www.zalora.com.ph/p/carlo-rino-black-cr-charm-platform-sandals-black-4231750
Black CR Pleated Pumps,Carlo Rino,Women > Shoes > Heels > Pumps,34.19,68.39,https://www.zalora.com.ph/p/carlo-rino-black-cr-pleated-pumps-black-3754009
Black Carlo GEO Loafers,Carlo Rino,Women > Shoes > Flats > Loafers & Boat Shoes,43.87,62.67,https://www.zalora.com.ph/p/carlo-rino-black-carlo-geo-loafers-black-3576902
Black Cropped Denim Jacket,London Rag,Women > Clothing > Jackets & Coats > Denim Jackets,39.82,99.4,https://www.zalora.com.ph/p/london-rag-black-cropped-denim-jacket-black-2760795
Black Elasticated Waist Wide Legged Trousers,FabAlley,Women > Clothing > Pants & Leggings,45.71,45.71,https://www.zalora.com.ph/p/faballey-black-elasticated-waist-wide-legged-trousers-black-3296305
Black Flared Block Heel Velvet Boots,London Rag,Women > Shoes > Boots > Heeled Boots,70.67,113.93,https://www.zalora.com.ph/p/london-rag-black-flared-block-heel-velvet-boots-black-3543104
Black Kaia Strapped Flats,Carlo Rino,Women > Shoes > Sandals > Flat Sandals,43.87,62.67,https://www.zalora.com.ph/p/carlo-rino-black-kaia-strapped-flats-black-4206929
Black Mesh Detailed Women'S Mary Janes Ballet Flats Takss26Be00024,Trendyol,Women > Shoes > Flats > Ballerinas,32.94,41.29,https://www.zalora.com.ph/p/trendyol-black-mesh-detailed-women-s-mary-janes-ballet-flats-takss26be00024-black-4292298
Black Patent Leather Women's Classic Heeled Shoes 17844,Soho,Women > Shoes > Heels > Pumps,51.78,63.98,https://www.zalora.com.ph/p/soho-black-patent-leather-women-s-classic-heeled-shoes-17844-black-3991541
Black Patent Leather Women's Classic Heeled Shoes 20324,Soho,Women > Shoes > Heels > Open Toes,130.42,130.42,https://www.zalora.com.ph/p/soho-black-patent-leather-women-s-classic-heeled-shoes-20324-black-3991219
Black Reina Slingback Heeled Pumps,Carlo Rino,Women > Shoes > Heels > Pumps,47.87,68.39,https://www.zalora.com.ph/p/carlo-rino-black-reina-slingback-heeled-pumps-black-4231762
Black Soft Step Ballerinas,Carlo Rino,Women > Shoes > Flats > Ballerinas,47.87,68.39,https://www.zalora.com.ph/p/carlo-rino-black-soft-step-ballerinas-black-4308597
Black Square Toe Women'S 6.5 Cm Block Heel Boots Takaw26Bo00069,Trendyol,Women > Shoes > Boots > Heeled Boots,63.57,66.92,https://www.zalora.com.ph/p/trendyol-black-square-toe-women-s-6-5-cm-block-heel-boots-takaw26bo00069-black-4292272
Black Suede Women's Classic Heeled Shoes 20349,Soho,Women > Shoes > Heels > Open Toes,69.36,69.36,https://www.zalora.com.ph/p/soho-black-suede-women-s-classic-heeled-shoes-20349-black-3991408
Black Suede Women's Classic Heeled Shoes 20371,Soho,Women > Shoes > Heels,51.08,51.08,https://www.zalora.com.ph/p/soho-black-suede-women-s-classic-heeled-shoes-20371-black-3991280
Black Suede Women's Slippers 20700,Soho,Women > Shoes > Sandals,42.97,51.08,https://www.zalora.com.ph/p/soho-black-suede-women-s-slippers-20700-black-3991756
Black Tweed Square Toe Mary Jane Women Block Heels Shoes Takss25To00023,Trendyol,Women > Shoes > Heels > Pumps,92.19,102.83,https://www.zalora.com.ph/p/trendyol-black-tweed-square-toe-mary-jane-women-block-heels-shoes-takss25to00023-black-3990493
Black V-neck Style Blouse,SST&C,Women > Clothing > Tops > Blouses,65.94,65.94,https://www.zalora.com.ph/p/sst-c-black-v-neck-style-blouse-black-3577380
Black Women's Sandals 20383,Soho,Women > Shoes > Wedges > Open Toes Wedges,111.66,153.44,https://www.zalora.com.ph/p/soho-black-women-s-sandals-20383-black-3991189
Black Women's Slippers 20305,Soho,Women > Shoes > Sandals,12.18,21.7,https://www.zalora.com.ph/p/soho-black-women-s-slippers-20305-black-3991346
Black-Black Women's Sneaker 20574,Soho,Women > Shoes > Sneakers,50.79,69.04,https://www.zalora.com.ph/p/soho-black-black-women-s-sneaker-20574-black-3991441
Black-Multi Women's Slippers 20659,Soho,Women > Shoes > Sandals > Flat Sandals,32.36,46.02,https://www.zalora.com.ph/p/soho-black-multi-women-s-slippers-20659-black-3991187
Black-White Women's Sneaker 14395,Soho,Women > Shoes > Sneakers,28.06,41.29,https://www.zalora.com.ph/p/soho-black-white-women-s-sneaker-14395-black-white-3991590
Blacktop Lifestyle Shoes,Nike,Sports > Men's Sports > Footwear > Sneakers,70.12,70.12,https://www.zalora.com.ph/p/nike-blacktop-lifestyle-shoes-white-4254408
Blair Collection: Premium Non-Padded Long Sleeves,Lotus Activewear,Sports > Women's Sports > Women's Sports,19.51,19.51,https://www.zalora.com.ph/p/lotus-activewear-blair-collection-premium-non-padded-long-sleeves-red-3302628
Blaze Wedge Slides,CLN,Women > Shoes > Wedges > Wedge Sandals,19.08,21.21,https://www.zalora.com.ph/p/cln-blaze-wedge-slides-black-3874804
Blazer with contrast stitching,Desigual,Men > Clothing > Jackets & Coats,212.06,212.06,https://www.zalora.com.ph/p/desigual-blazer-with-contrast-stitching-black-3648915
Bligh Shirt Dress,St MRLO,Women > Clothing > Dresses > Mini Dresses,82.42,82.42,https://www.zalora.com.ph/p/st-mrlo-bligh-shirt-dress-black-2392663
Block Heeled Boots,Soho,Women > Shoes > Boots > Heeled Boots,56.66,102.83,https://www.zalora.com.ph/p/soho-block-heeled-boots-black-4277181
Block Heels Ankle Strap Sandals,CARMELLETES,Women > Shoes > Heels > Open Toes,31.01,31.01,https://www.zalora.com.ph/p/carmelletes-block-heels-ankle-strap-sandals-beige-3638142
Block Print Tiered Skirt,JUST G,Women > Clothing > Skirts > Mini Skirts,16.98,21.21,https://www.zalora.com.ph/p/just-g-block-print-tiered-skirt-orange-3261142
Blue Floral Print Slim Fit Shirt,SST&C,Men > Clothing > Shirts > Long Sleeve,68.81,68.81,https://www.zalora.com.ph/p/sst-c-blue-floral-print-slim-fit-shirt-blue-3575669
Blue Strapless Back Zipper Denim Jumpsuit,London Rag,Women > Clothing > Playsuits & Jumpsuits,48.31,192.78,https://www.zalora.com.ph/p/london-rag-blue-strapless-back-zipper-denim-jumpsuit-blue-3167629
Blush Perforated Leather Ballerinas,London Rag,Women > Shoes > Flats > Ballerinas,22.35,40.47,https://www.zalora.com.ph/p/london-rag-blush-perforated-leather-ballerinas-pink-3275090
Boat Neck Crop Sweatshirt,Alacati,Women > Clothing > Hoodies & Sweatshirts,12.06,22.19,https://www.zalora.com.ph/p/alacati-boat-neck-crop-sweatshirt-black-3217181
Boat Neck Long Dress In Green,London Rag,Women > Clothing > Dresses > Maxi Dresses,26.43,87.98,https://www.zalora.com.ph/p/london-rag-boat-neck-long-dress-in-green-green-3255987
Bobby Mini Dress,Cotton On,Women > Clothing > Dresses > Mini Dresses,19.39,46.51,https://www.zalora.com.ph/p/cotton-on-bobby-mini-dress-black-3765559
Bobs B-Lite,Skechers,Sports > Women's Sports > Footwear > Sneakers,54.12,54.12,https://www.zalora.com.ph/p/skechers-bobs-b-lite-white-4217081
Bobs Moda Flex,Skechers,Sports > Men's Sports > Footwear > Sneakers,54.61,54.61,https://www.zalora.com.ph/p/skechers-bobs-moda-flex-black-4281631
Bobs Vision Air,Skechers,Sports > Women's Sports > Footwear > Sneakers,60.73,60.73,https://www.zalora.com.ph/p/skechers-bobs-vision-air-white-4281640
Bold Tam,Zaxy,Women > Shoes > Flip-Flops,30.94,30.94,https://www.zalora.com.ph/p/zaxy-bold-tam-orange-3311849
Bondi 9 Men's Running - Galaxy / Carbon Black,HOKA,Men > Sports > Footwear > Running Shoes,143.59,179.49,https://www.zalora.com.ph/p/hoka-bondi-9-men-s-running-galaxy-carbon-black-grey-4128211
Bondi 9 Men's Running Shoes in Black 1162013,HOKA,Men > Shoes > Sneakers,228.44,376.75,https://www.zalora.com.ph/p/hoka-bondi-9-men-s-running-shoes-in-black-1162013-black-4281794
Bondi 9 Running Shoes Mens - Beige,HOKA,Men > Sports > Footwear > Running Shoes,179.49,179.49,https://www.zalora.com.ph/p/hoka-bondi-9-running-shoes-mens-beige-beige-4144144
Bondi 9 Women's Running - Vanilla / Birch,HOKA,Women > Sports > Footwear > Running Shoes,179.49,179.49,https://www.zalora.com.ph/p/hoka-bondi-9-women-s-running-vanilla-birch-beige-4128240
Bondi Everyday Mid Length Bike Shorts,Cotton On Body,,10.0,31.02,https://www.zalora.com.ph/p/cotton-on-body-bondi-everyday-mid-length-bike-shorts-black-3712368
Bonnie Gathered Peplum Top,FORCAST,Women > Clothing > Tops > Blouses,24.41,48.81,https://www.zalora.com.ph/p/forcast-bonnie-gathered-peplum-top-white-3083645
Bootcut linen-blend trousers,H&M,Women > Clothing > Pants & Leggings,29.22,29.22,https://www.zalora.com.ph/p/hm-bootcut-linen-blend-trousers-white-3744456
Bootcut trousers,H&M,Women > Clothing > Pants & Leggings,22.69,29.22,https://www.zalora.com.ph/p/hm-bootcut-trousers-black-3762644
Boston EVA,Birkenstock,Men > Shoes > Sandals & Flip Flops > Sandals,81.46,81.46,https://www.zalora.com.ph/p/birkenstock-boston-eva-green-3471275
Boula Heeled Sandals,ALDO,Women > Shoes > Heels > Open Toes,101.13,101.13,https://www.zalora.com.ph/p/aldo-boula-heeled-sandals-beige-4314985
Bow Detail Denim Ankle Boots in Denim,Rag & CO.,Women > Shoes > Boots > Heeled Boots,63.81,85.04,https://www.zalora.com.ph/p/rag-co-bow-detail-denim-ankle-boots-in-denim-blue-3573063
Bow Round toe Strap Flat Shoes WW222-6,Twenty Eight Shoes,Women > Shoes > Flats,58.75,74.1,https://www.zalora.com.ph/p/twenty-eight-shoes-bow-round-toe-strap-flat-shoes-ww222-6-grey-3422934
Bow Ruched Studded Round Toe Mary Jane Shoes WW529-1,Twenty Eight Shoes,Women > Shoes > Heels > Low Heels,67.7,85.62,https://www.zalora.com.ph/p/twenty-eight-shoes-bow-ruched-studded-round-toe-mary-jane-shoes-ww529-1-pink-4354112
Bow Suspender Print A-Line One-Piece Dress A22050711,Sunnydaysweety,Women > Clothing > Dresses > Summer Dresses,60.83,60.83,https://www.zalora.com.ph/p/sunnydaysweety-bow-suspender-print-a-line-one-piece-dress-a22050711-multi-2531253
Bowen Slip On Sandals,Happy2U,Women > Shoes > Heels > Mid Heels,37.53,53.69,https://www.zalora.com.ph/p/happy2u-bowen-slip-on-sandals-black-4139679
Bowetta Ballerina & Flats,ALDO,Women > Shoes > Sandals > Flat Sandals,37.68,75.01,https://www.zalora.com.ph/p/aldo-bowetta-ballerina-flats-red-4185258
Bowknot Elevated Heel Mary Jane Shoes WW619-2,Twenty Eight Shoes,Women > Shoes > Heels > Mid Heels,74.72,94.59,https://www.zalora.com.ph/p/twenty-eight-shoes-bowknot-elevated-heel-mary-jane-shoes-ww619-2-silver-4293385
Bowknot Patent Leather Slingback Mid Heel XJ333-9,Twenty Eight Shoes,Women > Shoes > Heels > Mid Heels,52.57,75.09,https://www.zalora.com.ph/p/twenty-eight-shoes-bowknot-patent-leather-slingback-mid-heel-xj333-9-black-2604547
Boyfriend Jeans,Desigual,Women > Clothing > Jeans,176.96,176.96,https://www.zalora.com.ph/p/desigual-boyfriend-jeans-blue-3649094
Boyfriend T-Shirt,Trendyol,Women > Clothing > Tops > T-Shirts,17.71,22.35,https://www.zalora.com.ph/p/trendyol-boyfriend-t-shirt-white-2994525
Boyfriend jeans,Desigual,Women > Clothing > Jeans,190.84,190.84,https://www.zalora.com.ph/p/desigual-boyfriend-jeans-blue-3649089
Bradley Step Slip On Shoes Black,Clarks,Men > Shoes > Loafers & Boat Shoes,79.42,113.46,https://www.zalora.com.ph/p/clarks-bradley-step-slip-on-shoes-black-black-3659979
Bradley Vibe Lace Up Tan,Clarks,Men > Shoes > Loafers & Boat Shoes,121.62,121.62,https://www.zalora.com.ph/p/clarks-bradley-vibe-lace-up-tan-brown-3659980
Braid Knitted Jumper,Happiness Istanbul,Women > Clothing > Knitwear & Cardigans,35.74,35.74,https://www.zalora.com.ph/p/happiness-istanbul-braid-knitted-jumper-red-3685505
Braided ballet flats,H&M,Women > Shoes > Flats,29.22,29.22,https://www.zalora.com.ph/p/hm-braided-ballet-flats-pink-4098386
Braided ballet flats,H&M,Women > Shoes > Flats,24.32,24.32,https://www.zalora.com.ph/p/hm-braided-ballet-flats-black-4209374
Braided straw sandals,H&M,Women > Shoes > Sandals,29.22,29.22,https://www.zalora.com.ph/p/hm-braided-straw-sandals-beige-4208940
Branded Pullover Hoodie for Men Core Collection,NBA,Sports > Men's Sports > Clothing > Outerwear & Hoodies,40.73,40.73,https://www.zalora.com.ph/p/nba-branded-pullover-hoodie-for-men-core-collection-blue-3766644
Breaknet 3.0 Shoes,ADIDAS,Sports > Men's Sports > Footwear > Sneakers,44.99,48.97,https://www.zalora.com.ph/p/adidas-breaknet-3-0-shoes-white-4273145
Bree Knit Top,St MRLO,Women > Clothing > Tops > Blouses,42.43,42.43,https://www.zalora.com.ph/p/st-mrlo-bree-knit-top-white-2035868
Brejos Wedge Sneakers,ALDO,Women > Shoes > Sneakers,122.36,122.36,https://www.zalora.com.ph/p/aldo-brejos-wedge-sneakers-multi-3847949
Briar Dress,Cole Vintage,Women > Clothing > Dresses > Bodycon Dresses,10.0,33.34,https://www.zalora.com.ph/p/cole-vintage-briar-dress-navy-1928720
Brighter Day Midi Silk Dress,F2 - Fashion and Freedom,Women > Clothing > Dresses,95.66,95.66,https://www.zalora.com.ph/p/f2-fashion-and-freedom-brighter-day-midi-silk-dress-multi-2485018
Broderie anglaise dress,H&M,Women > Clothing > Dresses,13.86,32.49,https://www.zalora.com.ph/p/hm-broderie-anglaise-dress-black-3755806
Brogue Leather Cap Toe Business Shoes MK5011-4,Twenty Eight Shoes,Men > Shoes > Formal,75.09,97.3,https://www.zalora.com.ph/p/twenty-eight-shoes-brogue-leather-cap-toe-business-shoes-mk5011-4-black-2593303
Brooklyn Baby Tube PU Mini Dress,Peppermayo,Women > Clothing > Dresses,56.99,56.99,https://www.zalora.com.ph/p/peppermayo-brooklyn-baby-tube-pu-mini-dress-beige-2490256
Brown Front Wrap Short Sleeve Top,iROO,Women > Clothing > Tops,70.33,70.33,https://www.zalora.com.ph/p/iroo-brown-front-wrap-short-sleeve-top-brown-3350684
Brown Gold Buckle Block Heel Women's Heeled Slippers Takss25To00036,Trendyol,Women > Shoes > Heels > Open Toes,32.09,42.76,https://www.zalora.com.ph/p/trendyol-brown-gold-buckle-block-heel-women-s-heeled-slippers-takss25to00036-brown-3990778
Brown Linen Midi Dress,F2 - Fashion and Freedom,Women > Clothing > Dresses,108.72,108.72,https://www.zalora.com.ph/p/f2-fashion-and-freedom-brown-linen-midi-dress-brown-3109171
Brown Mary Jane Ballet Flats,Trendyol,Women > Shoes > Flats > Ballerinas,41.14,48.14,https://www.zalora.com.ph/p/trendyol-brown-mary-jane-ballet-flats-brown-4292330
Brown Rubber Detailed Women'S 6.5 Cm Block Heeled Boots Takaw26Bo00089,Trendyol,Women > Shoes > Boots > Heeled Boots,72.63,72.63,https://www.zalora.com.ph/p/trendyol-brown-rubber-detailed-women-s-6-5-cm-block-heeled-boots-takaw26bo00089-brown-4292308
Brynlee Sneakers,ALDO,Women > Shoes > Sneakers,87.63,97.44,https://www.zalora.com.ph/p/aldo-brynlee-sneakers-black-4009036
Brynlee Sneakers,ALDO,Women > Shoes > Sneakers,79.0,92.22,https://www.zalora.com.ph/p/aldo-brynlee-sneakers-white-4008914
Buckle Detail Knit Blouse,Happiness Istanbul,Women > Clothing > Tops > Blouses,10.58,55.49,https://www.zalora.com.ph/p/happiness-istanbul-buckle-detail-knit-blouse-black-3764341
Buckle Detailed Loafers,Trendyol,Women > Shoes > Flats > Loafers & Boat Shoes,26.84,35.25,https://www.zalora.com.ph/p/trendyol-buckle-detailed-loafers-red-4293517
Buckle Knee-High Rider Boots,Soho,Women > Shoes > Boots > Long Boots,35.36,71.65,https://www.zalora.com.ph/p/soho-buckle-knee-high-rider-boots-black-3581440
Buckle Sandals,Trendyol,Women > Shoes > Sandals,34.28,57.94,https://www.zalora.com.ph/p/trendyol-buckle-sandals-green-4293859
Buckle Strap Platform Classic Slip-On in Tan,London Rag,Women > Shoes > Flats,29.53,53.69,https://www.zalora.com.ph/p/london-rag-buckle-strap-platform-classic-slip-on-in-tan-brown-3507303
Buckle-detail top,H&M,Women > Clothing > Tops,10.0,10.0,https://www.zalora.com.ph/p/hm-buckle-detail-top-black-3118465
Budoc T-Shirt,Hummel,Sports > Men's Sports > Clothing > T-Shirts,13.04,13.04,https://www.zalora.com.ph/p/hummel-budoc-t-shirt-blue-2787136
Burberry Reversible Check Cotton Harrington Jacket in Duck Egg Blue,Burberry,Luxury > Men's Luxury > Clothing > Outerwear,1441.19,2034.34,https://www.zalora.com.ph/p/burberry-burberry-reversible-check-cotton-harrington-jacket-in-duck-egg-blue-blue-2901490
Burlington Men's Cotton Thick Sports Ankle Socks 3 pairs in a pack BMSKG8,Burlington,Men > Clothing > Socks > Ankle socks,10.0,10.0,https://www.zalora.com.ph/p/burlington-burlington-men-s-cotton-thick-sports-ankle-socks-3-pairs-in-a-pack-bmskg8-black-3714291
Burlington Men's Lite Thick Sports Half Terry Low Cut Socks 3 pairs in a pack BML-219,Burlington,Men > Clothing > Socks > Ankle socks,10.0,10.0,https://www.zalora.com.ph/p/burlington-burlington-men-s-lite-thick-sports-half-terry-low-cut-socks-3-pairs-in-a-pack-bml-219-white-1712110
Business Leather Monk Strap Shoes MK5009-3,Twenty Eight Shoes,Men > Shoes > Formal,87.98,109.36,https://www.zalora.com.ph/p/twenty-eight-shoes-business-leather-monk-strap-shoes-mk5009-3-black-2597260
Business Pleated Long Sleeve Shirt AX-SH2026,Twenty Eight Shoes,Men > Clothing > Shirts > Long Sleeve,47.23,56.19,https://www.zalora.com.ph/p/twenty-eight-shoes-business-pleated-long-sleeve-shirt-ax-sh2026-white-3723892
Business Polo Shirts AX-PL105,Twenty Eight Shoes,Men > Clothing > Polos,35.57,44.47,https://www.zalora.com.ph/p/twenty-eight-shoes-business-polo-shirts-ax-pl105-blue-2708404
Buttercup Drawstring Hoodie,FabAlley,Women > Clothing > Hoodies & Sweatshirts,54.43,54.43,https://www.zalora.com.ph/p/faballey-buttercup-drawstring-hoodie-yellow-2915143
Butterfly Knot Collar Chiffon Blouse,Hopeshow,Women > Clothing > Tops > Blouses,43.08,43.08,https://www.zalora.com.ph/p/hopeshow-butterfly-knot-collar-chiffon-blouse-beige-2377903
Butterfly-sleeved dress,H&M,Women > Clothing > Dresses,32.49,40.65,https://www.zalora.com.ph/p/hm-butterfly-sleeved-dress-red-3762501
Button Closure Cachet Overcoat,Trendyol,Women > Clothing > Jackets & Coats > Coats,39.39,70.18,https://www.zalora.com.ph/p/trendyol-button-closure-cachet-overcoat-white-3636401
Button Closure Denim Skirt,Trendyol,Women > Clothing > Skirts > Midi Skirts,18.5,46.51,https://www.zalora.com.ph/p/trendyol-button-closure-denim-skirt-white-2997014
Button Down Flare One Piece Dress K20050401RD,Sunnydaysweety,Women > Clothing > Dresses > Work Dresses,55.99,55.99,https://www.zalora.com.ph/p/sunnydaysweety-button-down-flare-one-piece-dress-k20050401rd-red-1906229
Button-front dress,H&M,Women > Clothing > Dresses,32.49,40.65,https://www.zalora.com.ph/p/hm-button-front-dress-black-3755920
Buttoned Jacket,KOTON,Women > Clothing > Jackets & Coats,52.06,52.06,https://www.zalora.com.ph/p/koton-buttoned-jacket-beige-3409928
Buttoned Pocket Denim Skirt,Olalook,Women > Clothing > Skirts > Mini Skirts,19.83,43.08,https://www.zalora.com.ph/p/olalook-buttoned-pocket-denim-skirt-blue-3540209
By My Side Thong,Billabong,Women > Shoes > Flip-Flops,10.92,17.79,https://www.zalora.com.ph/p/billabong-by-my-side-thong-black-4090908
C1 Men Olive Race Vest,Wattsup,Men > Sports > Clothing > Tops,49.95,49.95,https://www.zalora.com.ph/p/wattsup-c1-men-olive-race-vest-green-3392447
C2 Men Denim Race Vest,Wattsup,Men > Sports > Clothing > Tops,49.95,49.95,https://www.zalora.com.ph/p/wattsup-c2-men-denim-race-vest-blue-3392448
CHECKED KNITTED SOCK BOOTS,COS,Women > Shoes > Flats,220.39,220.39,https://www.zalora.com.ph/p/cos-checked-knitted-sock-boots-brown-4184681
CHUNKY HEEL PENNY LOAFERS,Nose,Women > Shoes > Heels > Pumps,55.49,76.71,https://www.zalora.com.ph/p/nose-chunky-heel-penny-loafers-black-4183635
CHUNKY PLATFORM MARY JANES,Nose,Women > Shoes > Flats > Loafers & Boat Shoes,45.69,48.96,https://www.zalora.com.ph/p/nose-chunky-platform-mary-janes-black-4101387
CLASSIC LEATHER LOAFERS,COS,Women > Shoes > Flats,106.11,106.11,https://www.zalora.com.ph/p/cos-classic-leather-loafers-black-4101962
CLEAN CUT REGULAR T-SHIRT,COS,Women > Clothing > Tops > T-Shirts,38.36,38.36,https://www.zalora.com.ph/p/cos-clean-cut-regular-t-shirt-white-3719721
CLOUDFOAM CUSHIONED SQUARE TOE STRAPPY FLAT SLIDES,Nose,Women > Shoes > Sandals > Flat Sandals,39.16,43.24,https://www.zalora.com.ph/p/nose-cloudfoam-cushioned-square-toe-strappy-flat-slides-brown-4101468
COOLMAX® Fitted T-shirt,H&M,Women > Clothing > Tops > T-Shirts,10.0,10.0,https://www.zalora.com.ph/p/hm-coolmax-fitted-t-shirt-black-3690050
COOLMAX® Integral-bra strappy top,H&M,Women > Clothing > Blazers,13.04,13.04,https://www.zalora.com.ph/p/hm-coolmax-integral-bra-strappy-top-white-3690049
COOLMAX® Integral-bra strappy top,H&M,Women > Clothing > Blazers,13.04,13.04,https://www.zalora.com.ph/p/hm-coolmax-integral-bra-strappy-top-black-3690040
CREWSTEP Sliders Men's Slides,ONE UP,Men > Shoes > Sandals & Flip Flops > Sandals,10.0,13.16,https://www.zalora.com.ph/p/one-up-crewstep-sliders-men-s-slides-beige-4329218
CROPPED ELASTICATED RELAXED-FIT WIDE-LEG TROUSERS,COS,Men > Clothing > Pants,90.6,90.6,https://www.zalora.com.ph/p/cos-cropped-elasticated-relaxed-fit-wide-leg-trousers-black-3715642
CZY SL M LVR II,Melissa,Women > Shoes > Sandals > Flat Sandals,53.06,53.06,https://www.zalora.com.ph/p/melissa-czy-sl-m-lvr-ii-brown-4130284
Cabbi Sleeveless Dress,RAF,Women > Clothing > Dresses > Mini Dresses,52.21,52.21,https://www.zalora.com.ph/p/raf-cabbi-sleeveless-dress-black-3767906
Cable Knit Sweater Vest,URBAN REVIVO,Women > Clothing > Knitwear & Cardigans,37.38,37.38,https://www.zalora.com.ph/p/urban-revivo-cable-knit-sweater-vest-grey-2488667
Calm Elevation Slide Sandals,Nike,Sports > Women's Sports > Footwear > Sandals & Flip Flops,51.1,53.79,https://www.zalora.com.ph/p/nike-calm-elevation-slide-sandals-white-4269002
